org.jfree.chart.BufferedImageRenderingSource.<init>(Ljava/awt/image/BufferedImage;)V,68.6412
org.jfree.chart.BufferedImageRenderingSource.createGraphics2D()Ljava/awt/Graphics2D;,78.515
org.jfree.chart.BufferedImageRenderingSource.getSelectionState(Lorg/jfree/data/general/Dataset;)Lorg/jfree/data/general/DatasetSelectionState;,61.2691
org.jfree.chart.BufferedImageRenderingSource.putSelectionState(Lorg/jfree/data/general/Dataset;Lorg/jfree/data/general/DatasetSelectionState;)V,73.4067
org.jfree.chart.ChartColor.<init>(III)V,78.3169
org.jfree.chart.ChartColor.createDefaultPaintArray()[Ljava/awt/Paint;,45.06399999999999
org.jfree.chart.ChartFactory.getChartTheme()Lorg/jfree/chart/ChartTheme;,80.4012
org.jfree.chart.ChartFactory.setChartTheme(Lorg/jfree/chart/ChartTheme;)V,54.1365
org.jfree.chart.ChartFactory.createPieChart(Ljava/lang/String;Lorg/jfree/data/pie/PieDataset;Z)Lorg/jfree/chart/JFreeChart;,73.1926
org.jfree.chart.ChartFactory.createPieChart(Ljava/lang/String;Lorg/jfree/data/pie/PieDataset;ZLjava/util/Locale;)Lorg/jfree/chart/JFreeChart;,58.8554
org.jfree.chart.ChartFactory.createPieChart(Ljava/lang/String;Lorg/jfree/data/pie/PieDataset;Lorg/jfree/data/pie/PieDataset;IZZLjava/util/Locale;ZZ)Lorg/jfree/chart/JFreeChart;,33.6026
org.jfree.chart.ChartFactory.createPieChart(Ljava/lang/String;Lorg/jfree/data/pie/PieDataset;Lorg/jfree/data/pie/PieDataset;IZZZZ)Lorg/jfree/chart/JFreeChart;,33.6427
org.jfree.chart.ChartFactory.createRingChart(Ljava/lang/String;Lorg/jfree/data/pie/PieDataset;Z)Lorg/jfree/chart/JFreeChart;,73.1926
org.jfree.chart.ChartFactory.createRingChart(Ljava/lang/String;Lorg/jfree/data/pie/PieDataset;ZLjava/util/Locale;)Lorg/jfree/chart/JFreeChart;,58.8554
org.jfree.chart.ChartFactory.createMultiplePieChart(Ljava/lang/String;Lorg/jfree/data/category/CategoryDataset;Lorg/jfree/chart/util/TableOrder;Z)Lorg/jfree/chart/JFreeChart;,53.0517
